"Subject,Start Date,Start Time"
"LPL 2020 Summer - RW vs FPX,2020-07-17,11:00"
"LPL 2020 Summer - EDG vs LGD,2020-07-17,13:00"
"LPL 2020 Summer - BLG vs DMO,2020-07-18,11:00"
"LPL 2020 Summer - iG vs RNG,2020-07-18,13:00"
"LPL 2020 Summer - VG vs TES,2020-07-19,11:00"
"LPL 2020 Summer - JDG vs FPX,2020-07-19,13:00"
"LPL 2020 Summer - WE vs LGD,2020-07-20,11:00"
"LPL 2020 Summer - V5 vs iG,2020-07-20,13:00"
"LPL 2020 Summer - OMG vs FPX,2020-07-21,11:00"
"LPL 2020 Summer - VG vs EDG,2020-07-21,13:00"
"LPL 2020 Summer - RW vs ES,2020-07-22,11:00"
"LPL 2020 Summer - WE vs BLG,2020-07-22,13:00"
"LPL 2020 Summer - DMO vs TES,2020-07-23,11:00"
"LPL 2020 Summer - LNG vs JDG,2020-07-23,13:00"
"LPL 2020 Summer - V5 vs SN,2020-07-24,11:00"
"LPL 2020 Summer - RNG vs LGD,2020-07-24,13:00"
"LPL 2020 Summer - VG vs OMG,2020-07-25,11:00"
"LPL 2020 Summer - EDG vs FPX,2020-07-25,13:00"
"LPL 2020 Summer - BLG vs JDG,2020-07-26,11:00"
"LPL 2020 Summer - iG vs TES,2020-07-26,13:00"
"LPL 2020 Summer - OMG vs SN,2020-07-27,11:00"
"LPL 2020 Summer - DMO vs VG,2020-07-27,13:00"
"LPL 2020 Summer - BLG vs RW,2020-07-28,11:00"
"LPL 2020 Summer - EDG vs LNG,2020-07-28,13:00"
"LPL 2020 Summer - JDG vs ES,2020-07-29,11:00"
"LPL 2020 Summer - FPX vs LGD,2020-07-29,13:00"
"LPL 2020 Summer - TES vs SN,2020-07-30,11:00"
"LPL 2020 Summer - WE vs V5,2020-07-30,13:00"
"LPL 2020 Summer - RNG vs DMO,2020-07-31,11:00"
"LPL 2020 Summer - LGD vs VG,2020-07-31,13:00"
"LPL 2020 Summer - RW vs LNG,2020-08-01,09:00"
"LPL 2020 Summer - EDG vs BLG,2020-08-01,11:00"
"LPL 2020 Summer - iG vs OMG,2020-08-01,13:00"
"LPL 2020 Summer - V5 vs JDG,2020-08-02,09:00"
"LPL 2020 Summer - ES vs WE,2020-08-02,11:00"
"LPL 2020 Summer - TES vs RNG,2020-08-02,13:00"
"LPL 2020 Summer - FPX vs DMO,2020-08-03,11:00"
"LPL 2020 Summer - BLG vs LGD,2020-08-03,13:00"
"LPL 2020 Summer - EDG vs V5,2020-08-04,11:00"
"LPL 2020 Summer - OMG vs WE,2020-08-04,13:00"
"LPL 2020 Summer - LNG vs LGD,2020-08-05,11:00"
"LPL 2020 Summer - ES vs TES,2020-08-05,13:00"
"LPL 2020 Summer - V5 vs RW,2020-08-06,11:00"
"LPL 2020 Summer - RNG vs BLG,2020-08-06,13:00"
"LPL 2020 Summer - SN vs VG,2020-08-07,11:00"
"LPL 2020 Summer - JDG vs OMG,2020-08-07,13:00"
"LPL 2020 Summer - LNG vs DMO,2020-08-08,09:00"
"LPL 2020 Summer - ES vs EDG,2020-08-08,11:00"
"LPL 2020 Summer - TES vs WE,2020-08-08,13:00"
"LPL 2020 Summer - RW vs RNG,2020-08-09,09:00"
"LPL 2020 Summer - FPX vs SN,2020-08-09,11:00"
"LPL 2020 Summer - iG vs VG,2020-08-09,13:00"